aac,audio/aac
abw,application/x-abiword
arc,application/octet-stream
avi,video/x-msvideo
azw,application/vndamazonebook
bin,application/octet-stream
bz,application/x-bzip
bz2,application/x-bzip2
csh,application/x-csh
css,text/css
csv,text/csv
doc,application/msword
epub,application/epub+zip
gif,image/gif
htm,text/html
html,text/html
ico,image/x-icon
ics,text/calendar
jar,application/java-archive
jpeg,image/jpeg
jpg,image/jpeg
js,application/javascript
json,application/json
mp3,audio/mpeg
m4a,audio/mpeg
midi,audio/midi
mid,audio/midi
mpeg,video/mpeg
mpkg,application/vndappleinstaller+xml
odp,application/vndoasisopendocumentpresentation
ods,application/vndoasisopendocumentspreadsheet
odt,application/vndoasisopendocumenttext
oga,audio/ogg
ogv,video/ogg
ogx,application/ogg
pdf,application/pdf
ppt,application/vndms-powerpoint
rar,application/x-rar-compressed
rtf,application/rtf
sh,application/x-sh
svg,image/svg+xml
swf,application/x-shockwave-flash
tar,application/x-tar
tiff,image/tiff
tif,image/tiff
ttf,font/ttf
vsd,application/vndvisio
wav,audio/x-wav
weba,audio/webm
webm,video/webm
webp,image/webp
woff,font/woff
woff2,font/woff2
xhtml,application/xhtml+xml
xls,application/vndms-excel
xml,application/xml
xul,application/vndmozillaxul+xml
zip,application/zip
3gp,video/3gpp
3g2,video/3gpp2
7z,application/x-7z-compressed
